gene,CellType,Geneid,FinalSet
Aurka,DIP,Psun_G000007713,yes
Rhcg,DIP,Psun_G000011536,no
Sycp2,DIP,Psun_G000007770,no
Tank,DIP,Psun_G000006406,yes
Car2,ES,Psun_G000010858,no
Prm1,ES,Psun_G000015791,no
Syce1,Lep,Psun_G000012385,no
Cyp17a1,Leydig,Psun_G000013303,no
Ptgds,Leydig,Psun_G000006257,no
Adad2,LZ,Psun_G000027041,yes
B3galnt1,LZ,Psun_G000014259,no
Ccnb1ip1,LZ,Psun_G000021023,yes
Cdk2,LZ,Psun_G000027384,no
Sycp1,LZ,Psun_G000011432,no
Piwil1,Pachytene,Psun_G000019945,no
Acrv1,RS,Psun_G000018817,yes
Cabyr,RS,Psun_G000003706,yes
Clu,Sertoli,Psun_G000020700,no
Dmrt1,SP,Psun_G000013014,yes
Hells,SP,Psun_G000013120,yes
Ncl,SP,Psun_G000010345,no
Piwil4,SP,Psun_G000010926,no
Stra8,SP,Psun_G000008631,no
Gmcl1,Spermatocyte,Psun_G000021186,no
Gmcl1.2,Spermatocyte,Psun_G000021185,no
MLH1,Pachytene,Psun_G000018210,no
Sycp3,Spermatocyte,Psun_G000026690,no
