"mGene","hGene"
"ENSMUSG00000027002","Psun_G000006567"
"ENSMUSG00000110404","Psun_G000003868"
"ENSMUSG00000059939","Psun_G000003870"
"ENSMUSG00000096351","Psun_G000003852"
"ENSMUSG00000078485","Psun_G000003859"
"ENSMUSG00000042719","Psun_G000003863"
"ENSMUSG00000041936","Psun_G000003866"
"ENSMUSG00000095567","Psun_G000003853"
"ENSMUSG00000028557","Psun_G000004873"
"ENSMUSG00000078486","Psun_G000003860"
"ENSMUSG00000029074","Psun_G000003871"
"ENSMUSG00000050796","Psun_G000003879"
"ENSMUSG00000041954","Psun_G000003876"
"ENSMUSG00000029075","Psun_G000003877"
"ENSMUSG00000029076","Psun_G000003878"
"ENSMUSG00000023571","Psun_G000003880"
"ENSMUSG00000023286","Psun_G000003881"
"ENSMUSG00000073680","Psun_G000003898"
"ENSMUSG00000042116","Psun_G000003900"
"ENSMUSG00000029036","Psun_G000003901"
"ENSMUSG00000084845","Psun_G000003903"
"ENSMUSG00000029038","Psun_G000003904"
"ENSMUSG00000074738","Psun_G000003905"
"ENSMUSG00000032076","Psun_G000019001"
"ENSMUSG00000051557","Psun_G000003887"
"ENSMUSG00000029073","Psun_G000003889"
"ENSMUSG00000029072","Psun_G000003890"
"ENSMUSG00000029068","Psun_G000003894"
"ENSMUSG00000029033","Psun_G000003885"
"ENSMUSG00000029034","Psun_G000003888"
"ENSMUSG00000029071","Psun_G000003891"
"ENSMUSG00000029070","Psun_G000003892"
"ENSMUSG00000065990","Psun_G000003893"
"ENSMUSG00000029066","Psun_G000003896"
"ENSMUSG00000078487","Psun_G000003897"
"ENSMUSG00000029063","Psun_G000003916"
"ENSMUSG00000029064","Psun_G000003917"
"ENSMUSG00000029060","Psun_G000003907"
"ENSMUSG00000029062","Psun_G000003910"
"ENSMUSG00000029061","Psun_G000003909"
"ENSMUSG00000086682","Psun_G000003913"
"ENSMUSG00000029053","Psun_G000003927"
"ENSMUSG00000029054","Psun_G000003922"
"ENSMUSG00000039463","Psun_G000007665"
"ENSMUSG00000073684","Psun_G000003928"
"ENSMUSG00000023153","Psun_G000003919"
"ENSMUSG00000078490","Psun_G000003920"
"ENSMUSG00000084803","Psun_G000003921"
"ENSMUSG00000029050","Psun_G000003929"
"ENSMUSG00000029048","Psun_G000003931"
"ENSMUSG00000029049","Psun_G000003930"
"ENSMUSG00000029047","Psun_G000003932"
"ENSMUSG00000029059","Psun_G000003943"
"ENSMUSG00000058183","Psun_G000003944"
"ENSMUSG00000046637","Psun_G000003946"
"ENSMUSG00000029055","Psun_G000003934"
"ENSMUSG00000073686","Psun_G000003933"
"ENSMUSG00000029056","Psun_G000003938"
"ENSMUSG00000048001","Psun_G000003939"
"ENSMUSG00000051276","Psun_G000003947"
"ENSMUSG00000085069","Psun_G000003948"
"ENSMUSG00000039410","Psun_G000003951"
"ENSMUSG00000029029","Psun_G000003959"
"ENSMUSG00000097871","Psun_G000003950"
"ENSMUSG00000029032","Psun_G000003953"
"ENSMUSG00000057751","Psun_G000003955"
"ENSMUSG00000029026","Psun_G000003964"
"ENSMUSG00000039492","Psun_G000003967"
"ENSMUSG00000078350","Psun_G000003968"
"ENSMUSG00000029028","Psun_G000003970"
"ENSMUSG00000039523","Psun_G000003974"
"ENSMUSG00000029027","Psun_G000003975"
"ENSMUSG00000047613","Psun_G000003977"
"ENSMUSG00000061859","Psun_G000005013"
"ENSMUSG00000039546","Psun_G000003981"
"ENSMUSG00000030649","Psun_G000003984"
"ENSMUSG00000039577","Psun_G000003987"
"ENSMUSG00000028931","Psun_G000003992"
"ENSMUSG00000033712","Psun_G000020641"
"ENSMUSG00000042804","Psun_G000004004"
"ENSMUSG00000033577","Psun_G000018610"
"ENSMUSG00000028937","Psun_G000004006"
"ENSMUSG00000058498","Psun_G000003998"
"ENSMUSG00000028946","Psun_G000004002"
"ENSMUSG00000005045","Psun_G000003996"
"ENSMUSG00000028936","Psun_G000003997"
"ENSMUSG00000039662","Psun_G000004001"
"ENSMUSG00000108604","Psun_G000004028"
"ENSMUSG00000014592","Psun_G000004031"
"ENSMUSG00000028950","Psun_G000004015"
"ENSMUSG00000028952","Psun_G000004016"
"ENSMUSG00000047777","Psun_G000004021"
"ENSMUSG00000039759","Psun_G000004022"
"ENSMUSG00000039768","Psun_G000004025"
"ENSMUSG00000073700","Psun_G000004020"
"ENSMUSG00000028955","Psun_G000004032"
"ENSMUSG00000028967","Psun_G000004042"
"ENSMUSG00000078492","Psun_G000004043"
"ENSMUSG00000024897","Psun_G000012998"
"ENSMUSG00000039852","Psun_G000004049"
"ENSMUSG00000039838","Psun_G000004047"
"ENSMUSG00000028972","Psun_G000004053"
"ENSMUSG00000063524","Psun_G000004052"
"ENSMUSG00000028943","Psun_G000004008"
"ENSMUSG00000024793","Psun_G000004009"
"ENSMUSG00000039713","Psun_G000004011"
"ENSMUSG00000028948","Psun_G000004014"
"ENSMUSG00000026655","Psun_G000026283"
"ENSMUSG00000112581","Psun_G000004063"
"ENSMUSG00000028980","Psun_G000004059"
"ENSMUSG00000086767","Psun_G000004060"
"ENSMUSG00000039911","Psun_G000004061"
"ENSMUSG00000005320","Psun_G000023048"
"ENSMUSG00000062064","Psun_G000004055"
"ENSMUSG00000028976","Psun_G000004057"
"ENSMUSG00000047875","Psun_G000004058"
"ENSMUSG00000028982","Psun_G000004064"
"ENSMUSG00000044700","Psun_G000004065"
"ENSMUSG00000028996","Psun_G000004081"
"ENSMUSG00000028992","Psun_G000004080"
"ENSMUSG00000028988","Psun_G000004078"
"ENSMUSG00000028990","Psun_G000004079"
"ENSMUSG00000027809","Psun_G000014287"
"ENSMUSG00000039936","Psun_G000004069"
"ENSMUSG00000039953","Psun_G000004076"
"ENSMUSG00000028975","Psun_G000004093"
"ENSMUSG00000104932","Psun_G000004095"
"ENSMUSG00000028957","Psun_G000004034"
"ENSMUSG00000028964","Psun_G000004040"
"ENSMUSG00000028977","Psun_G000004094"
"ENSMUSG00000041459","Psun_G000004101"
"ENSMUSG00000070577","Psun_G000004098"
"ENSMUSG00000041544","Psun_G000004112"
"ENSMUSG00000029001","Psun_G000004114"
"ENSMUSG00000055401","Psun_G000004115"
"ENSMUSG00000041556","Psun_G000004113"
"ENSMUSG00000029003","Psun_G000004117"
"ENSMUSG00000044496","Psun_G000004133"
"ENSMUSG00000015981","Psun_G000012348"
"ENSMUSG00000028960","Psun_G000004082"
"ENSMUSG00000112430","Psun_G000027170"
"ENSMUSG00000063077","Psun_G000004085"
"ENSMUSG00000028961","Psun_G000004089"
"ENSMUSG00000073705","Psun_G000004091"
"ENSMUSG00000028974","Psun_G000004092"
"ENSMUSG00000029005","Psun_G000004118"
"ENSMUSG00000078494","Psun_G000004119"
"ENSMUSG00000047879","Psun_G000003724"
"ENSMUSG00000029009","Psun_G000004123"
"ENSMUSG00000029016","Psun_G000004126"
"ENSMUSG00000041616","Psun_G000004131"
"ENSMUSG00000020716","Psun_G000016921"
"ENSMUSG00000019055","Psun_G000004135"
"ENSMUSG00000029020","Psun_G000004137"
"ENSMUSG00000064043","Psun_G000002102"
"ENSMUSG00000040097","Psun_G000015896"
"ENSMUSG00000028602","Psun_G000004141"
"ENSMUSG00000066026","Psun_G000004148"
"ENSMUSG00000078504","Psun_G000004150"
"ENSMUSG00000078505","Psun_G000004151"
"ENSMUSG00000070609","Psun_G000004152"
"ENSMUSG00000078506","Psun_G000004153"
"ENSMUSG00000078507","Psun_G000004155"
"ENSMUSG00000028589","Psun_G000004156"
"ENSMUSG00000041949","Psun_G000027792"
"ENSMUSG00000028593","Psun_G000004154"
"ENSMUSG00000022434","Psun_G000009574"
"ENSMUSG00000083958","Psun_G000004165"
"ENSMUSG00000046862","Psun_G000004168"
"ENSMUSG00000020063","Psun_G000027464"
"ENSMUSG00000043705","Psun_G000002969"
"ENSMUSG00000028584","Psun_G000004170"
"ENSMUSG00000057637","Psun_G000004173"
"ENSMUSG00000028989","Psun_G000004107"
"ENSMUSG00000047719","Psun_G000004109"
"ENSMUSG00000006442","Psun_G000004102"
"ENSMUSG00000017264","Psun_G000004105"
"ENSMUSG00000028991","Psun_G000004106"
"ENSMUSG00000026494","Psun_G000013639"
"ENSMUSG00000028583","Psun_G000004171"
"ENSMUSG00000110067","Psun_G000004174"
"ENSMUSG00000051435","Psun_G000004183"
"ENSMUSG00000040606","Psun_G000004177"
"ENSMUSG00000040616","Psun_G000004179"
"ENSMUSG00000040697","Psun_G000004188"
"ENSMUSG00000040706","Psun_G000004189"
"ENSMUSG00000040659","Psun_G000004184"
"ENSMUSG00000062478","Psun_G000004185"
"ENSMUSG00000028914","Psun_G000004187"
"ENSMUSG00000006216","Psun_G000004204"
"ENSMUSG00000006221","Psun_G000004203"
"ENSMUSG00000006218","Psun_G000004205"
"ENSMUSG00000033770","Psun_G000004207"
"ENSMUSG00000029381","Psun_G000005698"
"ENSMUSG00000040761","Psun_G000004200"
"ENSMUSG00000025584","Psun_G000011591"
"ENSMUSG00000006215","Psun_G000004201"
"ENSMUSG00000073733","Psun_G000004212"
"ENSMUSG00000028920","Psun_G000004213"
"ENSMUSG00000078515","Psun_G000004190"
"ENSMUSG00000028917","Psun_G000004193"
"ENSMUSG00000040740","Psun_G000004194"
"ENSMUSG00000073731","Psun_G000004195"
"ENSMUSG00000006219","Psun_G000004197"
"ENSMUSG00000006445","Psun_G000004209"
"ENSMUSG00000028919","Psun_G000004210"
"ENSMUSG00000025329","Psun_G000004229"
"ENSMUSG00000025328","Psun_G000004231"
"ENSMUSG00000040964","Psun_G000004237"
"ENSMUSG00000028927","Psun_G000004226"
"ENSMUSG00000060572","Psun_G000004223"
"ENSMUSG00000036622","Psun_G000004224"
"ENSMUSG00000009863","Psun_G000004225"
"ENSMUSG00000028736","Psun_G000004244"
"ENSMUSG00000025330","Psun_G000004233"
"ENSMUSG00000040945","Psun_G000004234"
"ENSMUSG00000028737","Psun_G000004247"
"ENSMUSG00000094439","Psun_G000004250"
"ENSMUSG00000028738","Psun_G000004245"
"ENSMUSG00000032399","Psun_G000019263"
