scaffold_name,size
ScmyWZ3_1410_HRSCAF_1457,1000
ScmyWZ3_3658_HRSCAF_3742,1000
ScmyWZ3_4487_HRSCAF_4583,1000
ScmyWZ3_5423_HRSCAF_5534,1000
ScmyWZ3_5574_HRSCAF_5687,1000
ScmyWZ3_6016_HRSCAF_6134,1000
ScmyWZ3_6049_HRSCAF_6167,1000
ScmyWZ3_6359_HRSCAF_6478,1000
ScmyWZ3_6603_HRSCAF_6728,1000
ScmyWZ3_7170_HRSCAF_7308,1000
ScmyWZ3_969_HRSCAF_1002,1000
ScmyWZ3_1264_HRSCAF_1309,1001
ScmyWZ3_2851_HRSCAF_2922,1001
ScmyWZ3_3195_HRSCAF_3274,1001
ScmyWZ3_338_HRSCAF_352,1001
ScmyWZ3_4245_HRSCAF_4336,1001
ScmyWZ3_4280_HRSCAF_4373,1001
ScmyWZ3_4985_HRSCAF_5090,1001
ScmyWZ3_6188_HRSCAF_6306,1001
ScmyWZ3_6461_HRSCAF_6583,1001
ScmyWZ3_7417_HRSCAF_7563,1001
ScmyWZ3_7553_HRSCAF_7703,1001
ScmyWZ3_7742_HRSCAF_7894,1001
ScmyWZ3_1770_HRSCAF_1826,1002
ScmyWZ3_1814_HRSCAF_1870,1002
ScmyWZ3_2916_HRSCAF_2988,1002
ScmyWZ3_4350_HRSCAF_4443,1002
ScmyWZ3_4793_HRSCAF_4895,1002
ScmyWZ3_5124_HRSCAF_5229,1002
ScmyWZ3_5191_HRSCAF_5296,1002
ScmyWZ3_574_HRSCAF_595,1002
ScmyWZ3_6341_HRSCAF_6460,1002
ScmyWZ3_6496_HRSCAF_6619,1002
ScmyWZ3_6514_HRSCAF_6637,1002
ScmyWZ3_6589_HRSCAF_6714,1002
ScmyWZ3_6616_HRSCAF_6741,1002
ScmyWZ3_7615_HRSCAF_7766,1002
ScmyWZ3_78_HRSCAF_84,1002
ScmyWZ3_1559_HRSCAF_1610,1003
ScmyWZ3_1795_HRSCAF_1851,1003
ScmyWZ3_2007_HRSCAF_2066,1003
ScmyWZ3_2354_HRSCAF_2420,1003
ScmyWZ3_2903_HRSCAF_2975,1003
ScmyWZ3_3_HRSCAF_4,1003
ScmyWZ3_5610_HRSCAF_5723,1003
ScmyWZ3_589_HRSCAF_610,1003
ScmyWZ3_590_HRSCAF_611,1003
ScmyWZ3_6092_HRSCAF_6210,1003
ScmyWZ3_6104_HRSCAF_6222,1003
ScmyWZ3_7110_HRSCAF_7247,1003
ScmyWZ3_7386_HRSCAF_7532,1003
ScmyWZ3_1164_HRSCAF_1207,1004
ScmyWZ3_1545_HRSCAF_1596,1004
ScmyWZ3_1730_HRSCAF_1784,1004
ScmyWZ3_2970_HRSCAF_3044,1004
ScmyWZ3_3310_HRSCAF_3391,1004
ScmyWZ3_4626_HRSCAF_4725,1004
ScmyWZ3_4798_HRSCAF_4900,1004
ScmyWZ3_5066_HRSCAF_5171,1004
ScmyWZ3_5199_HRSCAF_5304,1004
ScmyWZ3_5893_HRSCAF_6011,1004
ScmyWZ3_6521_HRSCAF_6644,1004
ScmyWZ3_6758_HRSCAF_6886,1004
ScmyWZ3_7201_HRSCAF_7340,1004
ScmyWZ3_7278_HRSCAF_7420,1004
ScmyWZ3_7651_HRSCAF_7803,1004
ScmyWZ3_2160_HRSCAF_2224,1005
ScmyWZ3_4059_HRSCAF_4149,1005
ScmyWZ3_6475_HRSCAF_6598,1005
ScmyWZ3_6811_HRSCAF_6939,1005
ScmyWZ3_712_HRSCAF_738,1005
ScmyWZ3_7524_HRSCAF_7673,1005
ScmyWZ3_905_HRSCAF_936,1005
ScmyWZ3_1360_HRSCAF_1406,1006
ScmyWZ3_2012_HRSCAF_2072,1006
ScmyWZ3_2631_HRSCAF_2699,1006
ScmyWZ3_3686_HRSCAF_3771,1006
ScmyWZ3_4144_HRSCAF_4235,1006
ScmyWZ3_4617_HRSCAF_4716,1006
ScmyWZ3_5565_HRSCAF_5678,1006
ScmyWZ3_5855_HRSCAF_5973,1006
ScmyWZ3_6034_HRSCAF_6152,1006
ScmyWZ3_6654_HRSCAF_6780,1006
ScmyWZ3_1143_HRSCAF_1186,1007
ScmyWZ3_2626_HRSCAF_2694,1007
ScmyWZ3_3541_HRSCAF_3622,1007
ScmyWZ3_3595_HRSCAF_3677,1007
ScmyWZ3_420_HRSCAF_436,1007
ScmyWZ3_436_HRSCAF_452,1007
ScmyWZ3_4481_HRSCAF_4577,1007
ScmyWZ3_4634_HRSCAF_4733,1007
ScmyWZ3_5749_HRSCAF_5867,1007
ScmyWZ3_5926_HRSCAF_6044,1007
ScmyWZ3_6763_HRSCAF_6891,1007
ScmyWZ3_6827_HRSCAF_6955,1007
ScmyWZ3_7579_HRSCAF_7729,1007
ScmyWZ3_849_HRSCAF_878,1007
ScmyWZ3_1583_HRSCAF_1634,1008
ScmyWZ3_2367_HRSCAF_2433,1008
ScmyWZ3_244_HRSCAF_254,1008
ScmyWZ3_3334_HRSCAF_3415,1008
ScmyWZ3_3574_HRSCAF_3656,1008
ScmyWZ3_3870_HRSCAF_3958,1008
ScmyWZ3_4558_HRSCAF_4655,1008
ScmyWZ3_4625_HRSCAF_4724,1008
ScmyWZ3_4763_HRSCAF_4864,1008
ScmyWZ3_5626_HRSCAF_5740,1008
ScmyWZ3_6492_HRSCAF_6615,1008
ScmyWZ3_6944_HRSCAF_7076,1008
ScmyWZ3_7249_HRSCAF_7391,1008
ScmyWZ3_7349_HRSCAF_7495,1008
ScmyWZ3_7406_HRSCAF_7552,1008
ScmyWZ3_7447_HRSCAF_7594,1008
ScmyWZ3_745_HRSCAF_772,1008
ScmyWZ3_7469_HRSCAF_7616,1008
ScmyWZ3_3175_HRSCAF_3254,1009
ScmyWZ3_4079_HRSCAF_4170,1009
ScmyWZ3_5166_HRSCAF_5271,1009
ScmyWZ3_5174_HRSCAF_5279,1009
