pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
BBBB	BBSS	CM043863.1	1	10000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	1	10000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	1	10000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	10001	20000	0.0444444444444444	9	32	720	360
BBBB	SSSS	CM043863.1	10001	20000	0.0525525525525525	9	70	1332	288
BBSS	SSSS	CM043863.1	10001	20000	0.0214646464646464	9	34	1584	360
BBBB	BBSS	CM043863.1	20001	30000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	20001	30000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	20001	30000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	30001	40000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	30001	40000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	30001	40000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	40001	50000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	40001	50000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	40001	50000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	50001	60000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	50001	60000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	50001	60000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	60001	70000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	60001	70000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	60001	70000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	70001	80000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	70001	80000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	70001	80000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	80001	90000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	80001	90000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	80001	90000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	90001	100000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	90001	100000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	90001	100000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	100001	110000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	100001	110000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	100001	110000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	110001	120000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	110001	120000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	110001	120000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	120001	130000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	120001	130000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	120001	130000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	130001	140000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	130001	140000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	130001	140000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	140001	150000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	140001	150000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	140001	150000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	150001	160000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	150001	160000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	150001	160000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	160001	170000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	160001	170000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	160001	170000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	170001	180000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	170001	180000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	170001	180000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	180001	190000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	180001	190000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	180001	190000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	190001	200000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	190001	200000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	190001	200000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	200001	210000	0.0	113	0	20300	40
BBSS	SSSS	CM043863.1	200001	210000	0.0	113	0	22856	1552
BBBB	BBSS	CM043863.1	200001	210000	0.0	113	0	12720	840
BBBB	BBSS	CM043863.1	210001	220000	0.0003245699448231	418	16	49296	864
BBBB	SSSS	CM043863.1	210001	220000	0.0	418	0	71748	3492
BBSS	SSSS	CM043863.1	210001	220000	0.0004227932540987	418	36	85148	5140
BBBB	BBSS	CM043863.1	220001	230000	0.0	500	0	56992	3008
BBBB	SSSS	CM043863.1	220001	230000	0.0	500	0	86112	3888
BBSS	SSSS	CM043863.1	220001	230000	0.0	500	0	99264	8736
BBBB	BBSS	CM043863.1	230001	240000	0.0073891625615763	72	60	8120	520
BBBB	SSSS	CM043863.1	230001	240000	0.0	72	0	11712	1248
BBSS	SSSS	CM043863.1	230001	240000	0.0076335877862595	72	108	14148	1404
BBBB	BBSS	CM043863.1	240001	250000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	240001	250000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	240001	250000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	250001	260000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	250001	260000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	250001	260000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	260001	270000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	260001	270000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	260001	270000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	270001	280000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	270001	280000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	270001	280000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	280001	290000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	280001	290000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	280001	290000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	290001	300000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	290001	300000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	290001	300000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	300001	310000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	300001	310000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	300001	310000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	310001	320000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	310001	320000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	310001	320000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	320001	330000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	320001	330000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	320001	330000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	330001	340000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	330001	340000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	330001	340000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	340001	350000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	340001	350000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	340001	350000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	350001	360000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	350001	360000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	350001	360000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	360001	370000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	360001	370000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	360001	370000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	370001	380000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	370001	380000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	370001	380000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	380001	390000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	380001	390000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	380001	390000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	390001	400000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	390001	400000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	390001	400000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	400001	410000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	400001	410000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	400001	410000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	410001	420000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	410001	420000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	410001	420000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	420001	430000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	420001	430000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	420001	430000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	430001	440000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	430001	440000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	430001	440000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	440001	450000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	440001	450000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	440001	450000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	450001	460000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	450001	460000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	450001	460000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	460001	470000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	460001	470000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	460001	470000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	470001	480000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	470001	480000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	470001	480000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	480001	490000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	480001	490000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	480001	490000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	490001	500000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	490001	500000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	490001	500000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	500001	510000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	500001	510000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	500001	510000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	510001	520000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	510001	520000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	510001	520000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	520001	530000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	520001	530000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	520001	530000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	530001	540000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	530001	540000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	530001	540000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	540001	550000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	540001	550000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	540001	550000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	550001	560000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	550001	560000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	550001	560000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	560001	570000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	560001	570000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	560001	570000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	570001	580000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	570001	580000	NA	0	NA	NA	NA
BBSS	SSSS	CM043863.1	570001	580000	NA	0	NA	NA	NA
BBBB	BBSS	CM043863.1	580001	590000	NA	0	NA	NA	NA
BBBB	SSSS	CM043863.1	580001	590000	NA	0	NA	NA	NA
