pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
CCPP	PPLL	chr19	3260001	3270000	0.2444444444444445	2
CCPP	WWLL	chr19	3260001	3270000	0.8571428571428571	2
PPLL	WWLL	chr19	3260001	3270000	0.52	2
CCPP	PPLL	chr19	3270001	3280000	0.2951570680628271	1
CCPP	WWLL	chr19	3270001	3280000	0.907701415424358	1
PPLL	WWLL	chr19	3270001	3280000	0.52	1
CCPP	PPLL	chr19	4110001	4120000	0.3416686325391208	2
CCPP	WWLL	chr19	4110001	4120000	1.0	2
PPLL	WWLL	chr19	4110001	4120000	0.4166666666666667	2
CCPP	PPLL	chr19	4760001	4770000	0.5480880648899188	1
CCPP	WWLL	chr19	4760001	4770000	1.0	1
PPLL	WWLL	chr19	4760001	4770000	0.4215481171548116	1
PPLL	WWLL	chr19	4830001	4840000	2.4286128663675305e-17	2
CCPP	WWLL	chr19	4830001	4840000	-0.0272840016535758	2
CCPP	PPLL	chr19	4830001	4840000	NA	2
CCPP	PPLL	chr19	4880001	4890000	0.4782608695652175	2
CCPP	WWLL	chr19	4880001	4890000	1.0	2
PPLL	WWLL	chr19	4880001	4890000	0.52	2
CCPP	PPLL	chr19	5040001	5050000	-0.1441261381301354	1
CCPP	WWLL	chr19	5040001	5050000	0.1515151515151515	1
PPLL	WWLL	chr19	5040001	5050000	0.1666666666666667	1
CCPP	PPLL	chr19	5110001	5120000	0.1070931849791376	3
CCPP	WWLL	chr19	5110001	5120000	0.5705521472392638	3
PPLL	WWLL	chr19	5110001	5120000	0.2205726405090137	3
CCPP	PPLL	chr19	5360001	5370000	0.4782608695652175	1
CCPP	WWLL	chr19	5360001	5370000	1.0	1
PPLL	WWLL	chr19	5360001	5370000	0.52	1
PPLL	WWLL	chr19	5490001	5500000	-0.0121268656716417	2
CCPP	PPLL	chr19	5490001	5500000	0.2643453051027805	2
CCPP	WWLL	chr19	5490001	5500000	0.2941176470588235	2
CCPP	PPLL	chr19	5550001	5560000	0.4399999999999999	1
CCPP	WWLL	chr19	5550001	5560000	1.0	1
PPLL	WWLL	chr19	5550001	5560000	0.5000000000000001	1
CCPP	PPLL	chr19	5560001	5570000	0.5215071690563521	1
CCPP	WWLL	chr19	5560001	5570000	1.0	1
PPLL	WWLL	chr19	5560001	5570000	0.3970811069463275	1
CCPP	PPLL	chr19	5570001	5580000	0.4975142476051897	1
CCPP	WWLL	chr19	5570001	5580000	1.0	1
PPLL	WWLL	chr19	5570001	5580000	0.4166666666666666	1
PPLL	WWLL	chr19	5600001	5610000	2.4286128663675305e-17	1
