pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
BBBB	CM043863.1	1	10000	NA	0	NA	NA	NA
SSSS	CM043863.1	1	10000	NA	0	NA	NA	NA
BBSS	CM043863.1	1	10000	NA	0	NA	NA	NA
BBBB	CM043863.1	10001	20000	0.0780669144981412	9	21	269	136
BBSS	CM043863.1	10001	20000	0.0231958762886597	9	9	388	206
SSSS	CM043863.1	10001	20000	0.0232389251997095	9	32	1377	0
BBBB	CM043863.1	20001	30000	NA	0	NA	NA	NA
BBSS	CM043863.1	20001	30000	NA	0	NA	NA	NA
SSSS	CM043863.1	20001	30000	NA	0	NA	NA	NA
BBBB	CM043863.1	30001	40000	NA	0	NA	NA	NA
BBSS	CM043863.1	30001	40000	NA	0	NA	NA	NA
SSSS	CM043863.1	30001	40000	NA	0	NA	NA	NA
BBBB	CM043863.1	40001	50000	NA	0	NA	NA	NA
BBSS	CM043863.1	40001	50000	NA	0	NA	NA	NA
SSSS	CM043863.1	40001	50000	NA	0	NA	NA	NA
BBSS	CM043863.1	50001	60000	NA	0	NA	NA	NA
SSSS	CM043863.1	50001	60000	NA	0	NA	NA	NA
BBBB	CM043863.1	50001	60000	NA	0	NA	NA	NA
BBBB	CM043863.1	60001	70000	NA	0	NA	NA	NA
BBSS	CM043863.1	60001	70000	NA	0	NA	NA	NA
SSSS	CM043863.1	60001	70000	NA	0	NA	NA	NA
BBBB	CM043863.1	70001	80000	NA	0	NA	NA	NA
BBSS	CM043863.1	70001	80000	NA	0	NA	NA	NA
SSSS	CM043863.1	70001	80000	NA	0	NA	NA	NA
BBBB	CM043863.1	80001	90000	NA	0	NA	NA	NA
BBSS	CM043863.1	80001	90000	NA	0	NA	NA	NA
SSSS	CM043863.1	80001	90000	NA	0	NA	NA	NA
BBBB	CM043863.1	90001	100000	NA	0	NA	NA	NA
BBSS	CM043863.1	90001	100000	NA	0	NA	NA	NA
SSSS	CM043863.1	90001	100000	NA	0	NA	NA	NA
BBBB	CM043863.1	100001	110000	NA	0	NA	NA	NA
SSSS	CM043863.1	100001	110000	NA	0	NA	NA	NA
BBSS	CM043863.1	100001	110000	NA	0	NA	NA	NA
BBSS	CM043863.1	110001	120000	NA	0	NA	NA	NA
BBBB	CM043863.1	110001	120000	NA	0	NA	NA	NA
SSSS	CM043863.1	110001	120000	NA	0	NA	NA	NA
