gene_id	chr	start	stop	gene
ENSMUSG00000102693	1	3073253	3074322	4933401J01Rik
ENSMUSG00000064842	1	3102016	3102125	Gm26206
ENSMUSG00000051951	1	3205901	3671498	Xkr4
ENSMUSG00000102851	1	3252757	3253236	Gm18956
ENSMUSG00000103377	1	3365731	3368549	Gm37180
ENSMUSG00000104017	1	3375556	3377788	Gm37363
ENSMUSG00000103025	1	3464977	3467285	Gm37686
ENSMUSG00000089699	1	3466587	3513553	Gm1992
ENSMUSG00000103201	1	3512451	3514507	Gm37329
ENSMUSG00000103147	1	3531795	3532720	Gm7341
ENSMUSG00000103161	1	3592892	3595903	Gm38148
ENSMUSG00000102331	1	3647309	3658904	Gm19938
ENSMUSG00000102348	1	3680155	3681788	Gm10568
ENSMUSG00000102592	1	3752010	3754360	Gm38385
ENSMUSG00000088333	1	3783876	3783933	Gm27396
ENSMUSG00000102343	1	3905739	3986215	Gm37381
ENSMUSG00000025900	1	3999557	4409241	Rp1
ENSMUSG00000102948	1	4256234	4260519	Gm6101
ENSMUSG00000104123	1	4363346	4364829	Gm37483
ENSMUSG00000025902	1	4490931	4497354	Sox17
ENSMUSG00000104238	1	4496551	4499558	Gm37587
ENSMUSG00000102269	1	4522905	4526737	Gm7357
ENSMUSG00000096126	1	4529017	4529123	Gm22307
ENSMUSG00000103003	1	4534837	4535286	Gm38076
ENSMUSG00000104328	1	4583129	4586252	Gm37323
ENSMUSG00000102735	1	4610471	4611406	Gm7369
ENSMUSG00000098104	1	4687934	4689403	Gm6085
ENSMUSG00000102175	1	4692219	4693424	Gm6119
ENSMUSG00000088000	1	4723277	4723379	Gm25493
ENSMUSG00000103265	1	4735046	4735676	Gm2053
ENSMUSG00000103922	1	4771131	4772199	Gm6123
ENSMUSG00000033845	1	4773206	4785739	Mrpl15
ENSMUSG00000102275	1	4778063	4779212	Gm37144
ENSMUSG00000025903	1	4807788	4848410	Lypla1
ENSMUSG00000104217	1	4807892	4886770	Gm37988
ENSMUSG00000033813	1	4857814	4897909	Tcea1
ENSMUSG00000062588	1	4880049	4880651	Gm6104
ENSMUSG00000103280	1	4905751	4906861	Gm37277
ENSMUSG00000002459	1	4909576	5070285	Rgs20
ENSMUSG00000091305	1	4927028	4927299	Gm17100
ENSMUSG00000102653	1	4938576	4940710	Gm37079
ENSMUSG00000085623	1	4970857	4976820	Gm16041
ENSMUSG00000091665	1	5063060	5064647	Gm17101
ENSMUSG00000033793	1	5070018	5162529	Atp6v1h
ENSMUSG00000104352	1	5276106	5277337	Gm7182
ENSMUSG00000104046	1	5307739	5310017	Gm37567
ENSMUSG00000102907	1	5403547	5405578	Gm38264
ENSMUSG00000025905	1	5588466	5606131	Oprk1
