pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
CCPP	chr19	1	10000	NA	0	NA	NA	NA
PPLL	chr19	1	10000	NA	0	NA	NA	NA
WWLL	chr19	1	10000	NA	0	NA	NA	NA
CCPP	chr19	10001	20000	NA	0	NA	NA	NA
PPLL	chr19	10001	20000	NA	0	NA	NA	NA
WWLL	chr19	10001	20000	NA	0	NA	NA	NA
CCPP	chr19	20001	30000	NA	0	NA	NA	NA
WWLL	chr19	20001	30000	NA	0	NA	NA	NA
PPLL	chr19	20001	30000	NA	0	NA	NA	NA
CCPP	chr19	30001	40000	NA	0	NA	NA	NA
WWLL	chr19	30001	40000	NA	0	NA	NA	NA
PPLL	chr19	30001	40000	NA	0	NA	NA	NA
WWLL	chr19	40001	50000	NA	0	NA	NA	NA
PPLL	chr19	40001	50000	NA	0	NA	NA	NA
CCPP	chr19	40001	50000	NA	0	NA	NA	NA
WWLL	chr19	50001	60000	NA	0	NA	NA	NA
PPLL	chr19	50001	60000	NA	0	NA	NA	NA
CCPP	chr19	50001	60000	NA	0	NA	NA	NA
WWLL	chr19	60001	70000	NA	0	NA	NA	NA
PPLL	chr19	60001	70000	NA	0	NA	NA	NA
CCPP	chr19	60001	70000	NA	0	NA	NA	NA
WWLL	chr19	70001	80000	NA	0	NA	NA	NA
CCPP	chr19	70001	80000	NA	0	NA	NA	NA
PPLL	chr19	70001	80000	NA	0	NA	NA	NA
CCPP	chr19	80001	90000	NA	0	NA	NA	NA
PPLL	chr19	80001	90000	NA	0	NA	NA	NA
WWLL	chr19	80001	90000	NA	0	NA	NA	NA
CCPP	chr19	90001	100000	NA	0	NA	NA	NA
PPLL	chr19	90001	100000	NA	0	NA	NA	NA
WWLL	chr19	90001	100000	NA	0	NA	NA	NA
CCPP	chr19	100001	110000	NA	0	NA	NA	NA
PPLL	chr19	100001	110000	NA	0	NA	NA	NA
WWLL	chr19	100001	110000	NA	0	NA	NA	NA
WWLL	chr19	110001	120000	NA	0	NA	NA	NA
PPLL	chr19	110001	120000	NA	0	NA	NA	NA
CCPP	chr19	110001	120000	NA	0	NA	NA	NA
CCPP	chr19	120001	130000	NA	0	NA	NA	NA
PPLL	chr19	120001	130000	NA	0	NA	NA	NA
WWLL	chr19	120001	130000	NA	0	NA	NA	NA
CCPP	chr19	130001	140000	NA	0	NA	NA	NA
PPLL	chr19	130001	140000	NA	0	NA	NA	NA
WWLL	chr19	130001	140000	NA	0	NA	NA	NA
CCPP	chr19	140001	150000	NA	0	NA	NA	NA
PPLL	chr19	140001	150000	NA	0	NA	NA	NA
WWLL	chr19	140001	150000	NA	0	NA	NA	NA
WWLL	chr19	150001	160000	NA	0	NA	NA	NA
CCPP	chr19	150001	160000	NA	0	NA	NA	NA
PPLL	chr19	150001	160000	NA	0	NA	NA	NA
CCPP	chr19	160001	170000	NA	0	NA	NA	NA
PPLL	chr19	160001	170000	NA	0	NA	NA	NA
WWLL	chr19	160001	170000	NA	0	NA	NA	NA
CCPP	chr19	170001	180000	NA	0	NA	NA	NA
PPLL	chr19	170001	180000	NA	0	NA	NA	NA
WWLL	chr19	170001	180000	NA	0	NA	NA	NA
PPLL	chr19	180001	190000	NA	0	NA	NA	NA
CCPP	chr19	180001	190000	NA	0	NA	NA	NA
WWLL	chr19	180001	190000	NA	0	NA	NA	NA
PPLL	chr19	190001	200000	NA	0	NA	NA	NA
CCPP	chr19	190001	200000	NA	0	NA	NA	NA
WWLL	chr19	190001	200000	NA	0	NA	NA	NA
CCPP	chr19	200001	210000	NA	0	NA	NA	NA
PPLL	chr19	200001	210000	NA	0	NA	NA	NA
WWLL	chr19	200001	210000	NA	0	NA	NA	NA
PPLL	chr19	210001	220000	NA	0	NA	NA	NA
CCPP	chr19	210001	220000	NA	0	NA	NA	NA
WWLL	chr19	210001	220000	NA	0	NA	NA	NA
CCPP	chr19	220001	230000	NA	0	NA	NA	NA
PPLL	chr19	220001	230000	NA	0	NA	NA	NA
WWLL	chr19	220001	230000	NA	0	NA	NA	NA
CCPP	chr19	230001	240000	NA	0	NA	NA	NA
PPLL	chr19	230001	240000	NA	0	NA	NA	NA
WWLL	chr19	230001	240000	NA	0	NA	NA	NA
PPLL	chr19	240001	250000	NA	0	NA	NA	NA
WWLL	chr19	240001	250000	NA	0	NA	NA	NA
CCPP	chr19	240001	250000	NA	0	NA	NA	NA
CCPP	chr19	250001	260000	NA	0	NA	NA	NA
PPLL	chr19	250001	260000	NA	0	NA	NA	NA
WWLL	chr19	250001	260000	NA	0	NA	NA	NA
CCPP	chr19	260001	270000	NA	0	NA	NA	NA
PPLL	chr19	260001	270000	NA	0	NA	NA	NA
WWLL	chr19	260001	270000	NA	0	NA	NA	NA
CCPP	chr19	270001	280000	NA	0	NA	NA	NA
PPLL	chr19	270001	280000	NA	0	NA	NA	NA
WWLL	chr19	270001	280000	NA	0	NA	NA	NA
CCPP	chr19	280001	290000	NA	0	NA	NA	NA
PPLL	chr19	280001	290000	NA	0	NA	NA	NA
WWLL	chr19	280001	290000	NA	0	NA	NA	NA
PPLL	chr19	290001	300000	NA	0	NA	NA	NA
WWLL	chr19	290001	300000	NA	0	NA	NA	NA
CCPP	chr19	290001	300000	NA	0	NA	NA	NA
CCPP	chr19	300001	310000	NA	0	NA	NA	NA
PPLL	chr19	300001	310000	NA	0	NA	NA	NA
WWLL	chr19	300001	310000	NA	0	NA	NA	NA
CCPP	chr19	310001	320000	NA	0	NA	NA	NA
PPLL	chr19	310001	320000	NA	0	NA	NA	NA
WWLL	chr19	310001	320000	NA	0	NA	NA	NA
PPLL	chr19	320001	330000	NA	0	NA	NA	NA
WWLL	chr19	320001	330000	NA	0	NA	NA	NA
CCPP	chr19	320001	330000	NA	0	NA	NA	NA
CCPP	chr19	330001	340000	NA	0	NA	NA	NA
PPLL	chr19	330001	340000	NA	0	NA	NA	NA
WWLL	chr19	330001	340000	NA	0	NA	NA	NA
CCPP	chr19	340001	350000	NA	0	NA	NA	NA
PPLL	chr19	340001	350000	NA	0	NA	NA	NA
WWLL	chr19	340001	350000	NA	0	NA	NA	NA
WWLL	chr19	350001	360000	NA	0	NA	NA	NA
PPLL	chr19	350001	360000	NA	0	NA	NA	NA
CCPP	chr19	350001	360000	NA	0	NA	NA	NA
CCPP	chr19	360001	370000	NA	0	NA	NA	NA
PPLL	chr19	360001	370000	NA	0	NA	NA	NA
WWLL	chr19	360001	370000	NA	0	NA	NA	NA
CCPP	chr19	370001	380000	NA	0	NA	NA	NA
PPLL	chr19	370001	380000	NA	0	NA	NA	NA
WWLL	chr19	370001	380000	NA	0	NA	NA	NA
WWLL	chr19	380001	390000	NA	0	NA	NA	NA
PPLL	chr19	380001	390000	NA	0	NA	NA	NA
CCPP	chr19	380001	390000	NA	0	NA	NA	NA
CCPP	chr19	390001	400000	NA	0	NA	NA	NA
PPLL	chr19	390001	400000	NA	0	NA	NA	NA
WWLL	chr19	390001	400000	NA	0	NA	NA	NA
CCPP	chr19	400001	410000	NA	0	NA	NA	NA
PPLL	chr19	400001	410000	NA	0	NA	NA	NA
WWLL	chr19	400001	410000	NA	0	NA	NA	NA
WWLL	chr19	410001	420000	NA	0	NA	NA	NA
PPLL	chr19	410001	420000	NA	0	NA	NA	NA
CCPP	chr19	410001	420000	NA	0	NA	NA	NA
CCPP	chr19	420001	430000	NA	0	NA	NA	NA
PPLL	chr19	420001	430000	NA	0	NA	NA	NA
WWLL	chr19	420001	430000	NA	0	NA	NA	NA
CCPP	chr19	430001	440000	NA	0	NA	NA	NA
PPLL	chr19	430001	440000	NA	0	NA	NA	NA
WWLL	chr19	430001	440000	NA	0	NA	NA	NA
PPLL	chr19	440001	450000	NA	0	NA	NA	NA
WWLL	chr19	440001	450000	NA	0	NA	NA	NA
CCPP	chr19	440001	450000	NA	0	NA	NA	NA
WWLL	chr19	450001	460000	NA	0	NA	NA	NA
CCPP	chr19	450001	460000	NA	0	NA	NA	NA
PPLL	chr19	450001	460000	NA	0	NA	NA	NA
CCPP	chr19	460001	470000	NA	0	NA	NA	NA
PPLL	chr19	460001	470000	NA	0	NA	NA	NA
WWLL	chr19	460001	470000	NA	0	NA	NA	NA
CCPP	chr19	470001	480000	NA	0	NA	NA	NA
PPLL	chr19	470001	480000	NA	0	NA	NA	NA
WWLL	chr19	470001	480000	NA	0	NA	NA	NA
CCPP	chr19	480001	490000	NA	0	NA	NA	NA
PPLL	chr19	480001	490000	NA	0	NA	NA	NA
WWLL	chr19	480001	490000	NA	0	NA	NA	NA
CCPP	chr19	490001	500000	NA	0	NA	NA	NA
PPLL	chr19	490001	500000	NA	0	NA	NA	NA
WWLL	chr19	490001	500000	NA	0	NA	NA	NA
PPLL	chr19	500001	510000	NA	0	NA	NA	NA
WWLL	chr19	500001	510000	NA	0	NA	NA	NA
CCPP	chr19	500001	510000	NA	0	NA	NA	NA
CCPP	chr19	510001	520000	NA	0	NA	NA	NA
