Geneid,Chr,chr,Mouse_ID,Gene_name,Start,End,Length
Psun_G000000001,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000002799,Jag2,39,399,713
Psun_G000000002,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000002799,Jag2,7494,7722,1140
Psun_G000000003,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000002799,Jag2,11146,11170,3046
Psun_G000000004,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000034687,Fras1,63047,63347,504
Psun_G000000005,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,65939,66000,261
Psun_G000000006,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021298,Gpr132,67001,68008,1008
Psun_G000000007,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000047832,Cdca4,81548,81560,2076
Psun_G000000008,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037594,#N/A,93499,94421,2132
Psun_G000000009,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000072812,Ahnak2,105979,106061,4632
Psun_G000000010,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000057766,Ankrd29,132189,132750,1175
Psun_G000000011,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000072825,#N/A,144360,144419,639
Psun_G000000012,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,145279,145560,387
Psun_G000000013,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000072825,#N/A,145769,146016,4965
Psun_G000000014,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000072825,#N/A,165215,167369,2262
Psun_G000000015,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000072825,#N/A,167211,167308,580
Psun_G000000016,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037638,Zbtb42,198296,201552,5566
Psun_G000000017,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000064326,Siva1,230843,232805,2436
Psun_G000000018,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000011148,Adssl1,239347,239441,1590
Psun_G000000019,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037679,Inf2,264140,264940,870
Psun_G000000020,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,265717,266085,369
Psun_G000000021,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037679,Inf2,267006,267094,3885
Psun_G000000022,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000043122,A530016L24Rik,355977,356126,555
Psun_G000000023,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000054013,Tmem179,368638,368984,6173
Psun_G000000024,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000054013,Tmem179,371688,371946,939
Psun_G000000025,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000054013,Tmem179,373201,373380,954
Psun_G000000026,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000113189,#N/A,430558,431376,951
Psun_G000000027,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,448857,448860,474
Psun_G000000028,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,529320,529446,633
Psun_G000000029,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021294,Kif26a,662729,662897,642
Psun_G000000030,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021294,Kif26a,663927,664108,5619
Psun_G000000031,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,712563,712766,747
Psun_G000000032,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,714632,714929,630
Psun_G000000033,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037686,Aspg,716636,716777,1836
Psun_G000000034,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037686,Aspg,725651,726220,831
Psun_G000000035,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037686,Aspg,727502,727807,336
Psun_G000000036,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037686,Aspg,728519,728631,945
Psun_G000000037,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000054003,Tdrd9,763196,763923,3544
Psun_G000000038,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000054003,Tdrd9,814661,814762,1053
Psun_G000000039,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000091402,Rd3l,836764,836930,1745
Psun_G000000040,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021290,Atp5mpl,851876,852004,625
Psun_G000000041,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021285,Ppp1r13b,903197,903204,435
Psun_G000000042,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021285,Ppp1r13b,952356,952396,3064
Psun_G000000043,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021286,Zfyve21,971981,973579,6687
Psun_G000000044,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000027540,Ptpn1,986411,986871,832
Psun_G000000045,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021287,Xrcc3,990938,991156,1602
Psun_G000000046,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021288,Klc1,992153,992718,916
Psun_G000000047,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,1006800,1006949,339
Psun_G000000048,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021288,Klc1,1007748,1008011,1597
Psun_G000000049,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037787,Apopt1,1052435,1052725,674
Psun_G000000050,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000049792,Bag5,1066618,1066627,2868
Psun_G000000051,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000060950,Trmt61a,1097730,1098836,1705
Psun_G000000052,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,1103235,1103621,387
Psun_G000000053,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000001270,Ckb,1108798,1108806,1746
Psun_G000000054,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000007411,Mark3,1122406,1122577,342
Psun_G000000055,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000007411,Mark3,1123329,1123674,471
Psun_G000000056,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000007411,Mark3,1127064,1127094,1548
Psun_G000000057,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021282,Eif5,1219443,1225095,7116
Psun_G000000058,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021282,Eif5,1230686,1230733,207
Psun_G000000059,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,1261645,1261714,357
Psun_G000000060,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000010529,Gm266,1263113,1263715,603
Psun_G000000061,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021281,Tnfaip2,1299273,1300941,3615
Psun_G000000062,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000024384,Iws1,1308434,1308439,6974
Psun_G000000063,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021280,Exoc3l4,1321382,1322107,2809
Psun_G000000064,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021280,Exoc3l4,1326160,1326689,1008
Psun_G000000065,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021279,Cdc42bpb,1361938,1362474,537
Psun_G000000066,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021279,Cdc42bpb,1393065,1393110,5926
Psun_G000000067,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021278,Amn,1463590,1463828,1727
Psun_G000000068,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021278,Amn,1468436,1468714,1296
Psun_G000000069,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000021277,Traf3,1477492,1479257,2940
Psun_G000000070,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000111966,Gm5781,1561657,1561917,261
Psun_G000000071,ScmyWZ3_7291_HRSCAF_7434,1,#N/A,#N/A,1611709,1612033,336
Psun_G000000072,ScmyWZ3_7291_HRSCAF_7434,1,ENSMUSG00000037896,Rcor1,1613196,1613301,1443
